id,order_id,product_id,quantity,unit_price,discount_pct,line_total
1,1,283,5,7.6,0,38.0
2,1,78,1,9.2,0,9.2
3,2,153,1,13.4,0,13.4
4,2,221,3,4.8,10,12.96
5,3,212,2,9.25,0,18.5
6,3,294,1,4.6,0,4.6
7,3,267,3,4.0,0,12.0
8,4,19,1,10.05,0,10.05
9,5,209,1,6.4,0,6.4
10,6,45,1,7.85,0,7.85
11,7,95,1,11.9,0,11.9
12,8,253,1,7.6,0,7.6
13,8,95,2,11.9,0,23.8
14,8,263,2,3.2,0,6.4
15,8,144,2,4.75,0,9.5
16,8,42,1,10.0,0,10.0
17,9,161,1,3.35,0,3.35
18,9,188,1,5.3,0,5.3
19,10,184,1,13.5,0,13.5
20,10,138,2,12.2,0,24.4
21,10,41,1,5.9,0,5.9
22,10,94,2,13.5,0,27.0
23,11,21,1,14.05,0,14.05
24,12,28,3,6.4,0,19.2
25,13,57,1,5.45,15,4.63
26,13,205,2,5.5,0,11.0
27,13,117,2,5.5,0,11.0
28,13,276,1,14.65,0,14.65
29,14,295,1,4.95,0,4.95
30,14,8,2,4.75,0,9.5
31,14,202,2,3.65,0,7.3
32,14,229,1,15.55,0,15.55
33,14,245,2,10.75,0,21.5
34,15,14,3,6.7,0,20.1
35,15,60,2,7.5,0,15.0
36,15,198,1,13.3,0,13.3
37,16,138,2,12.2,0,24.4
38,16,137,2,11.4,0,22.8
39,16,90,4,4.05,0,16.2
40,16,216,2,13.0,0,26.0
41,17,70,1,5.35,0,5.35
42,17,252,1,5.05,0,5.05
43,17,50,1,10.05,10,9.04
44,18,241,2,12.35,15,20.99
45,19,6,1,15.35,0,15.35
46,19,286,1,10.95,0,10.95
47,20,62,2,8.0,0,16.0
48,20,181,1,12.7,20,10.16
49,20,178,4,7.6,0,30.4
50,21,254,2,4.05,5,7.69
51,21,5,3,9.55,0,28.65
52,21,163,1,7.1,0,7.1
53,21,8,2,4.75,0,9.5
54,21,72,2,5.95,0,11.9
55,22,27,1,5.55,0,5.55
56,22,183,1,9.35,0,9.35
57,22,279,1,4.45,5,4.22
58,22,172,2,2.65,0,5.3
59,23,146,1,5.5,0,5.5
60,23,137,1,11.4,0,11.4
61,23,243,1,11.5,0,11.5
62,23,130,1,4.65,15,3.95
63,24,92,1,13.25,10,11.92
64,25,86,2,3.1,0,6.2
65,26,229,1,15.55,0,15.55
66,26,248,1,4.25,0,4.25
67,27,181,1,12.7,0,12.7
68,27,271,5,7.65,0,38.25
69,27,180,1,7.45,10,6.7
70,27,125,4,11.1,5,42.18
71,27,69,1,2.8,0,2.8
72,28,288,1,12.95,5,12.3
73,28,48,3,8.2,0,24.6
74,28,28,4,6.4,10,23.04
75,29,284,3,5.05,0,15.15
76,29,44,1,6.0,5,5.7
77,30,250,2,3.2,0,6.4
78,31,75,1,7.9,0,7.9
79,31,186,1,13.6,0,13.6
80,32,31,1,8.95,0,8.95
81,32,199,3,13.75,0,41.25
82,33,183,3,9.35,5,26.64
83,34,217,1,3.8,15,3.23
84,34,89,1,4.9,10,4.41
85,35,71,2,5.25,0,10.5
86,36,191,2,3.45,10,6.21
87,37,86,2,3.1,0,6.2
88,37,283,1,7.6,10,6.84
89,38,130,2,4.65,0,9.3
90,39,3,1,7.8,0,7.8
91,40,136,3,8.85,0,26.55
92,40,62,1,8.0,0,8.0
93,40,3,1,7.8,0,7.8
94,40,162,1,3.05,0,3.05
95,41,6,4,15.35,20,49.12
96,41,63,1,7.1,15,6.03
97,41,23,1,5.45,5,5.17
98,41,177,2,3.35,0,6.7
99,42,70,5,5.35,0,26.75
100,43,111,1,14.7,0,14.7
101,43,272,1,10.35,0,10.35
102,44,286,1,10.95,0,10.95
103,44,166,1,10.25,5,9.73
104,44,199,3,13.75,0,41.25
105,45,113,1,5.8,5,5.51
106,45,158,2,6.25,0,12.5
107,46,98,5,6.95,20,27.8
108,46,121,3,8.85,0,26.55
109,46,295,1,4.95,5,4.7
110,47,83,1,6.65,0,6.65
111,47,50,1,10.05,0,10.05
112,47,46,2,10.4,0,20.8
113,47,296,1,4.3,0,4.3
114,48,10,1,3.8,0,3.8
115,48,226,1,8.65,0,8.65
116,49,190,1,3.6,0,3.6
117,50,197,2,13.1,10,23.58
118,51,66,1,9.65,0,9.65
119,52,73,2,6.7,10,12.06
120,52,119,1,4.4,15,3.74
121,53,51,1,9.8,0,9.8
122,54,285,1,7.9,0,7.9
123,54,204,1,2.7,0,2.7
124,55,127,2,3.25,0,6.5
125,55,285,1,7.9,5,7.5
126,55,258,1,7.8,0,7.8
127,55,15,1,7.65,0,7.65
128,56,115,3,5.95,0,17.85
129,56,252,5,5.05,0,25.25
130,56,264,1,6.4,0,6.4
131,56,37,2,3.85,0,7.7
132,56,47,1,8.1,0,8.1
133,57,267,1,4.0,5,3.8
134,58,37,1,3.85,0,3.85
135,58,182,1,11.85,0,11.85
136,58,161,1,3.35,0,3.35
137,59,108,2,10.3,0,20.6
138,60,58,1,3.5,0,3.5
139,60,65,1,15.5,0,15.5
140,60,164,3,5.65,0,16.95
141,61,34,1,14.1,0,14.1
142,61,74,1,6.65,0,6.65
143,62,138,2,12.2,0,24.4
144,62,115,1,5.95,0,5.95
145,62,57,5,5.45,10,24.52
146,62,156,1,14.8,5,14.06
147,63,15,3,7.65,20,18.36
148,63,144,3,4.75,0,14.25
149,63,151,2,10.7,0,21.4
150,64,22,2,3.65,0,7.3
151,64,105,3,3.75,0,11.25
152,65,39,1,3.5,0,3.5
153,65,248,3,4.25,5,12.11
154,66,160,4,5.7,0,22.8
155,67,157,2,2.8,0,5.6
156,67,99,4,4.7,0,18.8
157,67,107,1,13.4,0,13.4
158,68,2,1,11.0,0,11.0
159,68,217,2,3.8,15,6.46
160,68,137,3,11.4,5,32.49
161,68,174,1,3.85,0,3.85
162,68,51,1,9.8,0,9.8
163,69,100,1,5.55,0,5.55
164,70,163,1,7.1,0,7.1
165,71,43,1,4.9,10,4.41
166,71,171,1,11.9,0,11.9
167,72,26,1,3.25,0,3.25
168,73,180,2,7.45,0,14.9
169,73,277,3,4.1,15,10.45
170,74,235,1,3.3,0,3.3
171,75,5,1,9.55,0,9.55
172,75,276,1,14.65,0,14.65
173,76,207,1,5.0,0,5.0
174,77,215,1,12.15,0,12.15
175,78,174,1,3.85,0,3.85
176,79,194,1,4.65,5,4.41
177,79,130,1,4.65,5,4.41
178,79,241,1,12.35,0,12.35
179,79,194,1,4.65,0,4.65
180,80,214,1,10.45,0,10.45
181,80,39,1,3.5,0,3.5
182,81,210,2,4.7,15,7.99
183,81,97,3,3.8,0,11.4
184,82,265,3,3.6,0,10.8
185,83,105,1,3.75,0,3.75
186,83,49,2,13.45,5,25.55
187,84,64,1,15.1,0,15.1
188,85,234,1,6.0,0,6.0
189,85,253,1,7.6,0,7.6
190,85,238,3,5.9,0,17.7
191,86,120,1,5.4,0,5.4
192,86,240,1,5.6,0,5.6
193,87,90,1,4.05,0,4.05
194,88,99,3,4.7,0,14.1
195,88,54,1,3.45,0,3.45
196,88,143,4,2.6,0,10.4
197,89,177,2,3.35,5,6.36
198,89,88,3,4.7,0,14.1
199,89,98,3,6.95,0,20.85
200,90,204,1,2.7,0,2.7
201,90,299,2,7.5,0,15.0
202,90,14,1,6.7,0,6.7
203,90,62,1,8.0,0,8.0
204,90,41,3,5.9,0,17.7
205,91,82,3,5.0,0,15.0
206,92,198,3,13.3,0,39.9
207,92,127,1,3.25,0,3.25
208,93,156,2,14.8,0,29.6
209,93,22,1,3.65,0,3.65
210,93,191,1,3.45,0,3.45
211,93,235,2,3.3,0,6.6
212,93,35,2,13.05,0,26.1
213,94,51,1,9.8,0,9.8
214,95,4,3,14.15,0,42.45
215,95,66,1,9.65,0,9.65
216,96,287,1,11.4,0,11.4
217,96,237,2,3.1,0,6.2
218,97,57,1,5.45,0,5.45
219,97,267,1,4.0,0,4.0
220,97,233,1,6.5,20,5.2
221,98,222,1,5.05,0,5.05
222,99,232,1,5.0,0,5.0
223,99,77,1,12.75,0,12.75
224,100,80,1,14.15,0,14.15
225,100,193,2,6.6,10,11.88
226,101,121,1,8.85,0,8.85
227,101,131,5,4.0,5,19.0
228,101,225,1,7.6,0,7.6
229,102,222,1,5.05,15,4.29
230,103,140,2,10.4,5,19.76
231,104,112,2,4.1,0,8.2
232,104,55,3,4.55,0,13.65
233,105,136,2,8.85,0,17.7
234,106,10,2,3.8,0,7.6
235,107,180,1,7.45,0,7.45
236,107,31,1,8.95,15,7.6
237,107,173,1,5.8,0,5.8
238,108,24,2,5.8,0,11.6
239,108,219,1,5.8,0,5.8
240,108,172,3,2.65,5,7.55
241,108,63,1,7.1,0,7.1
242,109,165,1,6.55,5,6.22
243,109,258,1,7.8,0,7.8
244,109,221,2,4.8,0,9.6
245,109,56,4,5.35,0,21.4
246,109,110,2,14.3,0,28.6
247,110,277,2,4.1,0,8.2
248,111,277,3,4.1,0,12.3
249,112,256,1,12.7,0,12.7
250,112,63,2,7.1,0,14.2
251,113,123,2,9.85,0,19.7
252,114,57,2,5.45,0,10.9
253,115,226,3,8.65,0,25.95
254,115,120,2,5.4,5,10.26
