id,customer_id,amount,status,ordered_at
1,1,47.2,completed,2025-11-10
2,1,26.36,pending,2023-01-04
3,1,35.1,completed,2022-03-07
4,1,10.05,completed,2023-05-06
5,2,6.4,completed,2025-09-08
6,2,7.85,pending,2021-03-02
7,2,11.9,completed,2024-11-10
8,4,57.3,completed,2022-12-19
9,4,8.65,pending,2025-09-12
10,4,70.8,completed,2020-06-03
11,5,14.05,completed,2023-02-26
12,5,19.2,completed,2024-07-05
13,5,41.28,pending,2022-01-26
14,5,58.8,completed,2021-11-29
15,6,48.4,completed,2022-12-10
16,6,89.4,completed,2020-05-19
17,6,19.44,cancelled,2025-02-16
18,7,20.99,pending,2022-04-05
19,7,26.3,completed,2022-03-10
20,8,56.56,completed,2022-02-17
21,8,64.84,completed,2021-07-01
22,8,24.42,pending,2022-04-05
23,8,32.35,completed,2020-01-29
24,9,11.92,completed,2022-07-27
25,9,6.2,completed,2025-11-18
26,10,19.8,completed,2021-04-03
27,10,102.63,completed,2024-07-03
28,10,59.94,completed,2024-08-16
29,10,20.85,completed,2022-01-27
30,11,6.4,completed,2024-07-25
31,11,21.5,completed,2021-01-27
32,11,50.2,completed,2022-08-15
33,11,26.64,cancelled,2025-04-29
34,12,7.64,pending,2021-10-22
35,12,10.5,completed,2021-02-26
36,12,6.21,completed,2024-01-30
37,12,13.04,completed,2022-04-30
38,13,9.3,completed,2025-08-25
39,13,7.8,completed,2020-05-19
40,13,45.4,cancelled,2020-12-27
41,13,67.02,completed,2025-06-16
42,14,26.75,completed,2022-09-03
43,15,25.05,completed,2025-04-23
44,15,61.93,pending,2025-02-06
45,16,18.01,completed,2025-07-12
46,16,59.05,completed,2020-02-28
47,16,41.8,completed,2024-08-21
48,17,12.45,completed,2025-12-13
49,17,3.6,completed,2020-01-16
50,17,23.58,completed,2020-05-04
51,17,9.65,completed,2020-12-26
52,17,15.8,completed,2020-11-01
53,17,9.8,completed,2025-09-22
54,18,10.6,completed,2022-06-25
55,18,29.45,completed,2023-09-09
56,18,65.3,cancelled,2022-07-03
57,18,3.8,cancelled,2020-08-25
58,19,19.05,pending,2022-01-22
59,19,20.6,pending,2025-10-18
60,19,35.95,completed,2024-10-09
61,19,20.75,completed,2022-10-20
62,20,68.93,completed,2024-09-23
63,20,54.01,completed,2021-08-31
64,20,18.55,completed,2021-12-15
65,22,15.61,completed,2025-09-26
66,22,22.8,completed,2020-12-16
67,23,37.8,pending,2021-10-14
68,23,63.6,completed,2020-07-31
69,24,5.55,completed,2020-04-30
70,24,7.1,completed,2023-02-18
71,24,16.31,completed,2020-06-02
72,24,3.25,cancelled,2023-02-08
73,24,25.35,pending,2020-11-13
74,25,3.3,completed,2020-01-04
75,25,24.2,completed,2024-11-27
76,25,5.0,completed,2021-10-11
77,25,12.15,completed,2022-04-05
78,25,3.85,pending,2021-06-08
79,26,25.82,completed,2025-08-25
80,26,13.95,completed,2022-01-31
81,27,19.39,completed,2024-10-09
82,27,10.8,pending,2025-05-18
83,28,29.3,pending,2021-06-16
84,28,15.1,pending,2025-02-23
85,28,31.3,cancelled,2020-04-13
86,28,11.0,pending,2022-02-10
87,28,4.05,completed,2023-09-21
88,28,27.95,completed,2022-09-10
89,29,41.31,completed,2020-07-20
90,29,50.1,completed,2025-04-27
91,29,15.0,completed,2024-08-18
92,30,43.15,completed,2022-06-17
93,30,69.4,cancelled,2024-08-27
94,30,9.8,completed,2022-09-25
95,31,52.1,completed,2024-03-01
96,31,17.6,completed,2020-12-16
97,31,14.65,cancelled,2025-09-08
98,31,5.05,completed,2022-06-25
99,32,17.75,completed,2025-07-24
100,32,26.03,pending,2024-01-23
101,33,35.45,completed,2023-02-06
102,33,4.29,cancelled,2025-08-30
103,33,19.76,completed,2020-10-28
104,34,21.85,completed,2025-10-02
105,34,17.7,cancelled,2022-02-24
106,34,7.6,completed,2023-07-02
107,35,20.85,completed,2021-11-11
108,35,32.05,completed,2024-03-25
109,35,73.62,completed,2021-06-18
110,36,8.2,completed,2022-01-17
111,36,12.3,completed,2024-05-16
112,37,26.9,completed,2021-05-08
113,37,19.7,cancelled,2025-10-18
114,37,10.9,completed,2023-09-25
115,38,62.11,completed,2020-10-20
116,38,36.25,cancelled,2021-03-20
117,38,47.35,pending,2022-08-17
118,38,28.78,completed,2024-08-10
119,39,37.3,completed,2023-04-10
120,39,30.63,completed,2025-09-11
121,40,61.1,pending,2020-05-06
122,40,14.84,completed,2025-07-03
123,40,93.87,completed,2021-10-04
124,40,45.27,completed,2020-02-09
125,40,37.55,completed,2024-03-17
126,40,13.3,completed,2021-05-07
127,40,82.35,completed,2024-08-19
128,40,19.27,pending,2021-02-20
129,41,15.06,completed,2020-01-13
130,41,11.3,pending,2025-08-19
131,41,66.95,completed,2022-04-26
132,41,24.75,completed,2022-08-20
133,42,12.75,completed,2021-11-12
134,43,11.7,pending,2023-04-06
135,43,12.0,completed,2020-06-24
136,43,68.3,completed,2024-07-10
137,43,23.2,completed,2024-02-01
138,44,23.24,completed,2025-11-05
139,44,3.65,completed,2021-08-31
140,44,31.02,completed,2020-02-14
141,45,7.8,completed,2020-01-14
142,45,11.24,pending,2024-06-03
143,45,30.76,completed,2023-10-13
144,45,40.45,cancelled,2025-05-15
145,46,19.66,pending,2023-03-08
146,46,4.3,completed,2024-07-15
147,49,24.8,completed,2021-04-21
148,49,26.8,completed,2020-09-30
149,49,29.57,completed,2022-03-04
150,50,21.19,completed,2024-07-20
151,50,53.25,completed,2021-11-04
152,50,23.8,completed,2024-03-14
153,50,42.6,completed,2025-03-11
154,50,39.48,pending,2021-01-09
155,50,33.95,completed,2023-04-16
156,50,3.85,completed,2024-05-04
157,50,20.8,pending,2025-01-23
158,51,19.0,completed,2024-01-22
159,51,28.85,completed,2020-03-09
160,52,6.65,completed,2022-01-09
161,52,36.2,completed,2024-03-06
162,52,70.55,completed,2025-11-19
163,53,23.07,pending,2023-06-24
164,53,16.68,completed,2024-11-17
165,53,34.41,completed,2024-03-24
166,54,7.0,completed,2021-04-17
167,54,12.0,completed,2023-08-04
168,54,5.8,completed,2020-05-28
169,54,19.6,completed,2023-03-30
170,55,17.11,completed,2022-07-02
171,55,52.47,cancelled,2025-11-26
172,55,24.13,completed,2023-09-28
173,55,16.35,completed,2024-05-17
174,56,8.2,completed,2022-09-14
175,57,30.17,completed,2021-11-05
176,57,6.94,completed,2022-05-03
177,57,17.6,pending,2023-04-07
178,57,56.3,completed,2020-10-14
179,57,81.45,completed,2020-12-13
180,58,10.9,completed,2023-08-18
181,58,20.6,completed,2024-12-05
182,58,30.6,completed,2020-05-05
183,58,22.22,cancelled,2025-05-01
184,59,62.46,completed,2025-06-10
185,59,24.13,completed,2022-10-19
186,60,23.93,completed,2024-09-12
187,61,14.2,pending,2022-03-22
188,61,8.6,completed,2020-10-28
189,62,61.3,completed,2020-08-03
190,62,27.8,completed,2022-08-25
191,62,30.4,completed,2025-02-08
192,62,82.85,completed,2024-04-04
193,63,99.75,completed,2022-04-06
194,63,48.08,pending,2021-06-27
195,63,13.42,completed,2024-04-17
196,63,14.33,completed,2025-03-31
197,63,30.49,completed,2024-09-23
198,63,10.1,completed,2023-09-07
199,63,16.45,pending,2021-04-29
200,63,5.3,pending,2020-05-03
201,64,21.65,completed,2022-12-17
202,64,6.84,completed,2021-10-30
203,64,33.8,completed,2023-02-11
204,64,18.74,cancelled,2022-04-13
205,64,87.15,completed,2025-12-04
206,65,116.7,pending,2025-01-04
207,66,10.2,completed,2021-05-10
208,66,13.96,completed,2024-05-10
209,66,23.85,completed,2023-01-09
210,67,94.73,completed,2025-09-04
211,67,7.75,completed,2024-05-19
212,67,22.55,completed,2020-02-03
213,67,5.45,completed,2025-05-15
214,68,21.0,completed,2020-11-18
215,68,4.0,cancelled,2023-05-01
216,68,22.95,completed,2022-09-07
217,69,39.15,completed,2023-03-14
218,69,82.4,completed,2023-02-26
219,70,4.8,completed,2023-02-16
220,70,51.1,completed,2020-08-06
221,70,15.2,completed,2024-01-23
222,70,20.97,completed,2023-11-08
223,71,10.5,completed,2024-08-14
224,71,50.0,completed,2023-09-30
225,71,21.12,completed,2021-10-30
226,71,30.53,completed,2023-02-09
227,72,37.92,completed,2021-01-05
228,72,54.05,pending,2022-10-03
229,72,28.3,completed,2022-10-31
230,72,9.55,completed,2020-01-30
231,72,51.0,completed,2021-11-20
232,72,57.94,cancelled,2020-05-06
233,73,22.0,completed,2021-04-16
234,73,111.96,completed,2020-03-17
235,74,22.8,completed,2025-12-31
236,74,77.86,completed,2025-02-23
237,74,85.3,completed,2025-04-07
238,75,40.62,completed,2022-06-01
239,75,33.54,pending,2021-12-11
240,75,19.12,cancelled,2024-05-31
241,76,9.4,completed,2025-05-12
242,76,24.4,completed,2023-06-01
243,76,13.59,pending,2024-06-03
244,76,7.29,pending,2021-01-11
245,76,5.4,pending,2025-05-16
246,76,39.98,pending,2020-10-01
247,76,48.5,completed,2022-01-12
248,77,9.2,pending,2025-11-30
249,77,55.25,completed,2024-07-11
250,77,37.2,cancelled,2022-07-16
251,78,39.5,completed,2025-12-27
252,78,10.58,completed,2020-02-12
253,78,13.25,cancelled,2021-08-06
254,78,32.9,pending,2024-08-06
255,79,62.71,completed,2025-10-13
256,80,80.45,completed,2022-11-01
257,80,75.05,completed,2024-02-09
