id,order_id,payment_method,amount
1,1,coupon,0
2,1,gift_card,45638
3,2,credit_card,40938
4,2,bank_transfer,24117
5,3,gift_card,2341
6,4,credit_card,34503
7,5,coupon,0
8,5,bank_transfer,34447
9,6,bank_transfer,34015
10,7,coupon,0
11,7,gift_card,10815
12,8,gift_card,42873
13,9,coupon,0
14,9,gift_card,39067
15,10,coupon,0
16,10,bank_transfer,8488
17,11,bank_transfer,12313
18,12,gift_card,48724
19,13,credit_card,25211
20,14,credit_card,38829
21,15,bank_transfer,7275
22,16,bank_transfer,15776
23,17,credit_card,13947
24,18,credit_card,27818
25,19,gift_card,24092
26,20,credit_card,48449
27,21,credit_card,23854
28,22,credit_card,26831
29,23,credit_card,42653
30,24,credit_card,8552
31,24,credit_card,24861
32,25,credit_card,963
33,26,credit_card,17219
34,27,credit_card,19880
35,28,credit_card,28426
36,29,credit_card,11754
37,30,gift_card,41605
38,31,bank_transfer,33579
39,32,bank_transfer,1491
40,33,coupon,0
41,33,credit_card,26112
42,34,bank_transfer,4688
43,35,gift_card,41668
44,36,coupon,0
45,36,credit_card,10488
46,37,coupon,0
47,37,credit_card,5982
48,38,bank_transfer,8986
49,39,credit_card,4685
50,40,credit_card,1387
51,41,bank_transfer,25745
52,42,credit_card,7148
53,43,bank_transfer,15122
54,44,gift_card,10170
55,45,credit_card,15941
56,46,gift_card,33832
57,47,credit_card,14377
58,48,gift_card,10433
59,49,credit_card,39469
60,50,gift_card,16990
61,51,coupon,0
62,51,bank_transfer,43411
63,52,bank_transfer,27668
64,52,bank_transfer,16274
65,53,credit_card,48143
66,54,credit_card,6494
67,55,credit_card,14905
68,56,credit_card,46758
69,57,credit_card,7050
70,58,credit_card,43893
71,59,gift_card,40377
72,60,credit_card,47907
73,61,credit_card,23553
74,62,coupon,0
75,62,credit_card,11332
76,63,credit_card,3335
77,64,credit_card,4786
78,65,credit_card,2477
79,66,credit_card,11802
80,67,credit_card,30545
81,68,credit_card,14190
82,68,bank_transfer,26659
83,69,credit_card,36286
84,70,bank_transfer,23178
85,71,credit_card,27441
86,72,coupon,0
87,72,credit_card,23544
88,73,credit_card,17993
89,74,bank_transfer,7337
90,75,credit_card,23171
91,76,credit_card,26957
92,77,gift_card,2909
93,78,credit_card,11184
94,78,gift_card,8609
95,79,bank_transfer,46481
96,80,credit_card,37893
97,81,coupon,0
98,81,credit_card,16840
99,82,bank_transfer,24454
100,83,credit_card,2863
101,84,coupon,0
102,84,credit_card,18543
103,85,coupon,0
104,85,credit_card,49896
105,86,credit_card,18627
106,87,gift_card,32682
107,87,credit_card,18340
108,88,gift_card,9336
109,89,credit_card,11627
110,89,credit_card,36568
111,90,coupon,0
112,90,bank_transfer,42455
113,91,bank_transfer,5891
114,92,credit_card,46833
115,93,credit_card,7545
116,93,credit_card,35622
117,94,credit_card,47610
118,95,credit_card,47230
119,96,credit_card,11025
120,97,bank_transfer,18935
121,98,coupon,0
122,98,credit_card,22364
123,99,credit_card,25344
124,100,credit_card,30440
125,101,credit_card,29839
126,102,credit_card,18034
127,103,gift_card,47503
128,104,credit_card,41327
129,105,credit_card,9150
130,105,credit_card,21260
131,106,bank_transfer,12859
132,107,gift_card,4714
133,108,credit_card,18331
134,109,credit_card,44945
135,110,coupon,0
136,110,bank_transfer,528
137,111,bank_transfer,48354
138,112,bank_transfer,26758
139,113,credit_card,43969
140,114,bank_transfer,20358
141,115,bank_transfer,26464
142,116,credit_card,4768
143,117,coupon,0
144,117,credit_card,47960
145,118,credit_card,13807
146,119,bank_transfer,41812
147,120,coupon,0
148,120,gift_card,23230
149,121,bank_transfer,27349
150,122,bank_transfer,36729
151,123,credit_card,21909
152,124,coupon,0
153,124,gift_card,5829
154,125,credit_card,15894
155,126,credit_card,48649
156,127,bank_transfer,40359
157,128,credit_card,14027
158,129,bank_transfer,1166
159,130,credit_card,41983
160,131,bank_transfer,20330
161,132,credit_card,26442
162,133,credit_card,35700
163,134,bank_transfer,26450
164,135,credit_card,42794
165,135,bank_transfer,17579
166,136,gift_card,13337
167,137,gift_card,46612
168,138,credit_card,30095
169,139,credit_card,6163
170,140,bank_transfer,18788
171,140,gift_card,18575
172,141,credit_card,39956
173,142,credit_card,31303
174,143,gift_card,28226
175,144,credit_card,44331
176,145,gift_card,17148
177,146,credit_card,5512
178,147,credit_card,38248
179,147,bank_transfer,30345
