id,product_id,customer_id,rating,review_text,reviewed_at
1,69,11385,5,Absolutely loved this. Will order again.,2024-09-21
2,276,10475,4,"Best lunch in town, no contest.",2022-04-25
3,159,6373,1,Disappointing portion for the price.,2021-09-16
4,35,7019,4,"Solid flavour, great portion size.",2020-12-12
5,220,7365,5,Reliable as always — never disappoints.,2021-09-28
6,244,14539,5,"Solid flavour, great portion size.",2022-12-24
7,99,11378,4,"Best lunch in town, no contest.",2021-03-22
8,160,13222,3,Decent but nothing special.,2021-08-25
9,123,6417,3,Decent but nothing special.,2020-11-13
10,281,2656,5,Reliable as always — never disappoints.,2021-11-30
11,158,11377,5,Absolutely loved this. Will order again.,2022-03-12
12,247,6742,4,Fresh ingredients and prompt service.,2020-01-27
13,66,3732,4,Reliable as always — never disappoints.,2025-06-28
14,15,3451,5,Absolutely loved this. Will order again.,2022-06-15
15,8,4508,5,Reliable as always — never disappoints.,2024-11-18
16,19,8500,1,Skipped my dietary request.,2020-10-05
17,118,7515,5,Reliable as always — never disappoints.,2025-12-29
18,282,2741,2,"Slow service, mediocre food.",2021-07-24
19,223,8329,5,Absolutely loved this. Will order again.,2020-09-24
20,267,13013,3,Fine for a quick bite.,2022-08-27
21,97,13741,3,Average — would order again only if nearby.,2021-04-18
22,99,14727,5,Reliable as always — never disappoints.,2024-08-31
23,285,9390,4,"Came with my team, everyone was happy.",2025-06-09
24,166,6526,2,Disappointing portion for the price.,2023-12-14
25,220,1071,3,Fine for a quick bite.,2024-06-17
26,31,14150,5,Reliable as always — never disappoints.,2024-08-08
27,254,12959,5,"Solid flavour, great portion size.",2021-09-06
28,263,12887,4,Five stars all around.,2021-04-18
29,218,5314,5,"Came with my team, everyone was happy.",2021-09-19
30,179,9402,1,Not what I expected from the photos.,2020-06-15
31,24,4521,1,Disappointing portion for the price.,2023-05-10
32,89,7216,4,Five stars all around.,2023-07-31
33,85,7614,5,"Solid flavour, great portion size.",2022-06-26
34,156,1576,4,"Came with my team, everyone was happy.",2024-09-15
35,286,10835,4,Fresh ingredients and prompt service.,2023-09-19
36,77,4617,5,Reliable as always — never disappoints.,2024-09-24
37,159,14355,5,"Solid flavour, great portion size.",2023-09-25
38,135,3620,3,Decent but nothing special.,2024-07-03
39,264,4193,5,Absolutely loved this. Will order again.,2023-02-28
40,264,338,3,"Standard fare, fairly priced.",2025-01-20
41,113,5378,5,"Best lunch in town, no contest.",2021-11-16
42,83,1509,4,"Best lunch in town, no contest.",2025-12-14
43,207,9729,3,"Good on most days, off-days exist.",2021-07-19
44,239,4618,5,Five stars all around.,2022-04-26
45,176,437,5,"Best lunch in town, no contest.",2025-09-07
46,217,8773,2,Skipped my dietary request.,2022-08-09
47,177,10475,4,Absolutely loved this. Will order again.,2023-10-06
48,286,12997,5,Reliable as always — never disappoints.,2020-10-23
49,193,12331,5,Five stars all around.,2024-07-11
50,66,1184,5,Fresh ingredients and prompt service.,2021-01-23
51,273,13452,5,Reliable as always — never disappoints.,2025-01-28
52,215,7191,5,Five stars all around.,2021-01-15
53,181,3902,4,Reliable as always — never disappoints.,2023-10-16
54,104,2884,4,Absolutely loved this. Will order again.,2024-09-29
55,118,12314,4,Reliable as always — never disappoints.,2020-06-30
56,96,4681,1,Skipped my dietary request.,2024-05-22
57,185,5163,1,Disappointing portion for the price.,2020-10-23
58,97,12835,5,"Best lunch in town, no contest.",2021-03-01
59,273,8838,5,Five stars all around.,2022-04-02
60,230,12090,4,Reliable as always — never disappoints.,2021-08-18
61,291,7531,5,Reliable as always — never disappoints.,2020-10-22
62,217,4488,2,Skipped my dietary request.,2020-08-10
63,266,861,4,Reliable as always — never disappoints.,2025-01-22
64,1,7588,4,Five stars all around.,2022-01-08
65,131,2623,5,"Solid flavour, great portion size.",2022-08-29
66,238,7749,5,Absolutely loved this. Will order again.,2025-09-24
67,37,6660,5,"Came with my team, everyone was happy.",2020-07-10
68,63,5290,4,Reliable as always — never disappoints.,2022-09-16
69,58,14688,5,"Came with my team, everyone was happy.",2024-01-26
70,251,5892,5,Fresh ingredients and prompt service.,2023-09-17
71,128,9777,4,"Solid flavour, great portion size.",2023-04-12
72,268,7982,3,Decent but nothing special.,2020-11-09
73,154,14526,5,"Solid flavour, great portion size.",2020-04-10
74,127,1449,5,"Came with my team, everyone was happy.",2023-03-06
75,227,7718,4,"Best lunch in town, no contest.",2024-10-22
76,243,7489,4,Fresh ingredients and prompt service.,2023-07-26
77,290,1746,5,"Solid flavour, great portion size.",2020-02-06
78,177,11634,2,Skipped my dietary request.,2023-12-21
79,253,2590,2,Cold by the time it arrived.,2023-08-05
80,110,14523,5,Fresh ingredients and prompt service.,2020-11-14
81,5,4401,5,"Came with my team, everyone was happy.",2020-11-05
82,207,3501,2,Cold by the time it arrived.,2023-12-12
83,63,3681,3,Decent but nothing special.,2021-10-14
84,64,8151,5,Reliable as always — never disappoints.,2025-11-21
85,211,2072,4,Fresh ingredients and prompt service.,2025-06-17
86,106,3391,4,Fresh ingredients and prompt service.,2024-07-29
87,100,2032,4,Absolutely loved this. Will order again.,2025-09-10
88,38,6961,2,"Slow service, mediocre food.",2025-11-15
89,54,12123,5,Reliable as always — never disappoints.,2024-03-02
90,218,8612,1,Skipped my dietary request.,2020-01-20
91,295,7096,4,"Solid flavour, great portion size.",2020-01-15
92,270,12105,3,"Good on most days, off-days exist.",2021-12-10
93,257,13500,5,Reliable as always — never disappoints.,2023-06-02
94,20,9740,5,"Solid flavour, great portion size.",2024-05-05
95,171,4989,1,Skipped my dietary request.,2021-11-20
96,98,4789,4,Five stars all around.,2020-05-09
97,120,13966,1,Not what I expected from the photos.,2021-09-13
98,161,3385,3,"Standard fare, fairly priced.",2020-06-07
99,127,14046,4,"Solid flavour, great portion size.",2025-10-12
100,143,11813,5,Five stars all around.,2020-11-17
101,143,14118,4,"Came with my team, everyone was happy.",2020-08-21
102,213,2059,5,Reliable as always — never disappoints.,2025-01-07
103,222,6163,4,Five stars all around.,2025-11-02
104,37,9931,4,Absolutely loved this. Will order again.,2020-04-19
105,284,3659,1,Not what I expected from the photos.,2023-07-01
106,1,9245,5,Fresh ingredients and prompt service.,2023-12-05
107,75,5009,4,"Solid flavour, great portion size.",2025-09-28
108,212,7198,3,Fine for a quick bite.,2025-06-16
109,66,6967,5,"Best lunch in town, no contest.",2023-10-05
110,294,12731,2,Skipped my dietary request.,2025-06-10
111,7,14284,4,"Came with my team, everyone was happy.",2025-01-31
112,84,7348,5,Reliable as always — never disappoints.,2023-12-19
113,93,4440,5,Absolutely loved this. Will order again.,2024-06-19
114,254,2621,4,Fresh ingredients and prompt service.,2021-08-07
115,161,8485,5,Absolutely loved this. Will order again.,2021-02-21
116,96,12222,4,Five stars all around.,2020-02-06
117,140,3047,3,"Good on most days, off-days exist.",2021-07-10
118,293,780,5,Reliable as always — never disappoints.,2023-09-30
119,257,8109,5,"Solid flavour, great portion size.",2020-01-28
120,100,13849,3,"Good on most days, off-days exist.",2022-07-21
121,68,14754,1,Disappointing portion for the price.,2020-06-29
122,168,14230,5,Reliable as always — never disappoints.,2021-06-04
123,272,8654,2,Skipped my dietary request.,2021-07-06
124,155,5246,4,Five stars all around.,2020-04-30
125,39,6351,5,Absolutely loved this. Will order again.,2025-01-01
126,112,1320,5,Five stars all around.,2021-06-26
127,62,4549,3,Fine for a quick bite.,2021-11-07
128,182,8408,4,"Best lunch in town, no contest.",2024-01-22
129,262,8769,5,Fresh ingredients and prompt service.,2024-05-05
130,20,637,5,"Solid flavour, great portion size.",2022-03-21
131,291,5028,2,Not what I expected from the photos.,2020-08-14
132,59,8696,5,"Came with my team, everyone was happy.",2020-12-28
